road,way_id,seq,lat,lon,average_green
Lamb Close,26901715,1,51.57269,-3.022955,0.2561425
Macaulay Gardens,26901718,1,51.572395,-3.02152,0.0837785
Goldsmith Close,26901729,1,51.572772,-3.020132,0.1586105
Ridgeway Park Road,26901744,1,51.587369,-3.021184,0.04718
Pye Corner,26901806,1,51.579034,-3.037633,0.3766115
Tregwilym Road,26901808,1,51.585878,-3.051935,0.4492625
High Cross Lane,26901810,1,51.58655,-3.037157,0.135364
Ebenezer Drive,26901811,1,51.58411,-3.049096,0.4209885
Tudor Crescent,26901818,1,51.584442,-3.045268,0.183031
Ty-Du View,26901819,1,51.586495,-3.042759,0.1975465
Tudor Crescent,26901820,1,51.586177,-3.043043,0.0735105
Greenfield Road,26901821,1,51.585051,-3.043977,0.166079
Hillside Crescent,26901823,1,51.585528,-3.04273,0.110696
High Cross Close,26901825,1,51.581996,-3.040896,0.089392
Thornbury Park,26901835,1,51.58456,-3.046023,0.3317265
Thornbury Park,26901836,1,51.584441,-3.04663,0.0708985
Thornbury Park,26901866,1,51.585266,-3.047999,0.107356
Tregwilym Walk,26901870,1,51.584024,-3.048502,0.084569
Tregwilym Walk,26901871,1,51.583138,-3.046779,0.459009
Groves Road,26928953,1,51.583301,-3.034048,0.2360775
Quebec Close,26928960,1,51.580492,-3.031942,0.248849
Wellington Road,26928971,1,51.580276,-3.030407,0.153873
Auckland Road,26928973,1,51.579835,-3.031348,0.245858
Toronto Close,26928987,1,51.58087,-3.03083,0.26822
Montreal Close,26928992,1,51.581229,-3.029671,0.1365625
Western Valley Road,26928995,1,51.579922,-3.038419,0.246399
Tredegar Park View,26929034,1,51.583141,-3.038797,0.3328345
Christina Crescent,26929036,1,51.582657,-3.037931,0.407283
Keene Avenue,26929042,1,51.58189,-3.039295,0.2288485
Blackbird Close,26929049,1,51.581527,-3.03824,0.339375
Glasllwch Lane,26929069,1,51.578221,-3.035949,0.309324
Glasllwch View,26929075,1,51.579851,-3.035709,0.473021
Glasllwch Lane,26929080,1,51.580791,-3.033784,0.420813
Ruskin Avenue,27718109,1,51.593402,-3.050426,0.1482005
Ffos-y-Fran,28610342,1,51.577316,-3.056542,0.280835
Church Crescent,28610386,1,51.578271,-3.047298,0.35183
Laurel Road,28610388,1,51.578338,-3.04774,0.22266
Highfield Road,28610394,1,51.578635,-3.050095,0.2259485
St Basils Crescent,28610396,1,51.578098,-3.050348,0.079635
Fort View,28610402,1,51.578832,-3.051098,0.1644495
Graig Close,28610405,1,51.579216,-3.052111,0.2404065
Penylan Close,28610411,1,51.579066,-3.05221,0.235487
Grosvenor Road,28610434,1,51.579838,-3.061064,0.0761385
Russell Close,28610435,1,51.580347,-3.057406,0.0712235
Berkley Road,28610439,1,51.580172,-3.057858,0.0907285
Channel View,28610445,1,51.580133,-3.055292,0.1553015
Foxwood Close,28610446,1,51.579187,-3.056733,0.093793
Woodland Drive,28610453,1,51.579583,-3.055978,0.0476905
Laurel Road,28610485,1,51.578691,-3.049701,0.0656335
Garth Close,28610486,1,51.578513,-3.05368,0.091571
Highfield Lane,28610506,1,51.57706,-3.055549,0.314194
